,Hospital Name,Hospital Type,City,County,State,# of Licensed Beds,# of Staffed Beds,# of ICU Beds,# of Adult ICU Beds,# of Pediatric ICU Beds,Bed Utilization Rate,Potential Increase in Bed Capacity,Average Ventilator Usage
1284,Unity Medical and Surgical Hospital,Short Term Acute Care Hospital,Mishawaka,St. Joseph,Indiana,29.0,29.0,5,5,0.0,0.1147851,0,0.0
1285,Mishawaka Medical Center (FKA St Joseph Regional Medical Center),Short Term Acute Care Hospital,Mishawaka,St. Joseph,Indiana,253.0,253.0,28,28,12.0,0.6837403,0,16.0
1286,Memorial Hospital of South Bend,Short Term Acute Care Hospital,South Bend,St. Joseph,Indiana,525.0,525.0,46,46,30.0,0.6410959,0,13.0
1287,Scott Memorial Hospital,Critical Access Hospital,Scottsburg,Scott,Indiana,25.0,25.0,4,4,0.0,0.3185754,0,2.0
1288,Major Health Partners Medical Center (FKA Major Hospital),Short Term Acute Care Hospital,Shelbyville,Shelby,Indiana,46.0,46.0,6,6,0.0,0.5916617,0,4.0
1289,Starke Hospital,Short Term Acute Care Hospital,Knox,Starke,Indiana,15.0,15.0,1,1,0.0,0.2241096,0,2.0
1290,Cameron Memorial Community Hospital,Critical Access Hospital,Angola,Steuben,Indiana,25.0,25.0,2,2,0.0,0.4289315,0,2.0
1291,Sullivan County Community Hospital,Critical Access Hospital,Sullivan,Sullivan,Indiana,25.0,25.0,4,4,0.0,0.2641096,0,2.0
1292,IU Health Arnett Hospital,Short Term Acute Care Hospital,Lafayette,Tippecanoe,Indiana,185.0,185.0,14,14,17.0,0.6233987,0,13.0
1293,Franciscan Health Lafayette East (FKA Franciscan St Elizabeth Health - Lafayette East Campus),Short Term Acute Care Hospital,Lafayette,Tippecanoe,Indiana,188.0,188.0,16,16,14.0,0.6011109,0,10.0
1294,IU Health Tipton Hospital (FKA Desert View Regional Medical Center),Critical Access Hospital,Tipton,Tipton,Indiana,25.0,25.0,4,4,0.0,0.3136438,0,2.0
1295,Ascension St Vincent Evansville (FKA St Marys Medical Center - Evansville Campus),Short Term Acute Care Hospital,Evansville,Vanderburgh,Indiana,400.0,400.0,60,60,40.0,0.3779452,0,13.0
1296,Deaconess Midtown Hospital,Short Term Acute Care Hospital,Evansville,Vanderburgh,Indiana,365.0,365.0,67,67,0.0,0.7203851,0,15.0
1297,Union Hospital Clinton,Critical Access Hospital,Clinton,Vermillion,Indiana,25.0,25.0,6,6,0.0,0.203726,0,2.0
1298,Terre Haute Regional Hospital,Short Term Acute Care Hospital,Terre Haute,Vigo,Indiana,164.0,164.0,18,18,0.0,0.3238557,0,5.0
1299,Union Hospital,Short Term Acute Care Hospital,Terre Haute,Vigo,Indiana,233.0,233.0,36,36,15.0,0.6299018,0,7.0
1300,Parkview Wabash Hospital (AKA Wabash County Hospital),Critical Access Hospital,Wabash,Wabash,Indiana,18.0,18.0,3,3,0.0,0.3380715,0,2.0
1301,Ascension St Vincent Williamsport (FKA St Vincent Williamsport Hospital),Critical Access Hospital,Williamsport,Warren,Indiana,16.0,16.0,4,4,0.0,0.3549657,0,2.0
1302,The Heart Hospital at Deaconess Gateway,Short Term Acute Care Hospital,Newburgh,Warrick,Indiana,24.0,24.0,4,4,0.0,0.6890411,0,2.0
1303,Ascension St Vincent Warrick (FKA St Marys Warrick Hospital),Critical Access Hospital,Boonville,Warrick,Indiana,25.0,25.0,4,4,0.0,0.2843836,0,1.0
1304,The Womens Hospital (AKA Deaconess Womens Hospital),Short Term Acute Care Hospital,Newburgh,Warrick,Indiana,74.0,74.0,24,24,0.0,0.6051462,0,2.0
1305,Ascension St Vincent Salem,Critical Access Hospital,Salem,Washington,Indiana,25.0,25.0,4,4,0.0,0.05435617,0,2.0
1306,Reid Health (FKA Reid Hospital & Health Care Services),Short Term Acute Care Hospital,Richmond,Wayne,Indiana,163.0,163.0,30,30,0.0,0.6307757,0,6.0
1307,Bluffton Regional Medical Center,Short Term Acute Care Hospital,Bluffton,Wells,Indiana,55.0,55.0,7,7,0.0,0.1756413,0,2.0
1308,IU Health White Memorial Hospital,Critical Access Hospital,Monticello,White,Indiana,25.0,25.0,4,4,0.0,0.2481096,0,2.0
1309,Parkview Whitley Hospital,Short Term Acute Care Hospital,Columbia City,Whitley,Indiana,30.0,30.0,5,5,0.0,0.3936986,0,2.0
1310,Adair County Memorial Hospital,Critical Access Hospital,Greenfield,Adair,Iowa,25.0,25.0,4,4,0.0,0.04427397,0,0.0
1311,CHI Health Mercy Corning (FKA Alegent Health Mercy Hospital Corning),Critical Access Hospital,Corning,Adams,Iowa,22.0,22.0,4,4,0.0,0.07260274,0,2.0
1312,Veterans Memorial Hospital,Critical Access Hospital,Waukon,Allamakee,Iowa,25.0,25.0,5,5,0.0,0.2638904,0,2.0
1313,MercyOne Centerville Medical Center (FKA Mercy Medical Center - Centerville),Critical Access Hospital,Centerville,Appanoose,Iowa,45.0,25.0,3,3,0.0,0.1511233,20,2.0
1314,Audubon County Memorial Hospital,Critical Access Hospital,Audubon,Audubon,Iowa,25.0,25.0,4,4,0.0,0.0729863,0,1.0
1315,Allen Hospital (FKA Allen Memorial Hospital),Short Term Acute Care Hospital,Waterloo,Black Hawk,Iowa,228.0,187.0,12,12,7.0,0.456582,41,4.0
1316,MercyOne Cedar Falls Medical Center (FKA Sartori Memorial Hospital),Short Term Acute Care Hospital,Cedar Falls,Black Hawk,Iowa,101.0,35.0,5,5,0.0,0.1862231,66,2.0
1317,MercyOne Waterloo Medical Center (FKA Covenant Medical Center),Short Term Acute Care Hospital,Waterloo,Black Hawk,Iowa,346.0,162.0,12,12,0.0,0.3703873,184,3.0
1318,Boone County Hospital,Critical Access Hospital,Boone,Boone,Iowa,42.0,25.0,4,4,0.0,0.3746849,17,2.0
1319,Waverly Health Center,Critical Access Hospital,Waverly,Bremer,Iowa,25.0,21.0,4,4,0.0,0.3355512,4,1.0
1320,Buchanan County Health Center,Critical Access Hospital,Independence,Buchanan,Iowa,25.0,25.0,4,4,0.0,0.1429041,0,0.0
1321,Buena Vista Regional Medical Center,Critical Access Hospital,Storm Lake,Buena Vista,Iowa,35.0,25.0,4,4,0.0,0.2985205,10,2.0
1322,Stewart Memorial Community Hospital,Critical Access Hospital,Lake City,Calhoun,Iowa,25.0,25.0,2,2,0.0,0.1256986,0,0.0
1323,St Anthony Regional Hospital,Short Term Acute Care Hospital,Carroll,Carroll,Iowa,99.0,49.0,6,6,0.0,0.3749511,50,1.0
1324,Manning Regional Healthcare Center,Critical Access Hospital,Manning,Carroll,Iowa,17.0,17.0,3,3,0.0,0.1100725,0,0.0
1325,Cass County Memorial Hospital,Critical Access Hospital,Atlantic,Cass,Iowa,33.0,25.0,4,4,0.0,0.3525479,8,2.0
1326,MercyOne North Iowa Medical Center (FKA Mercy Medical Center - North Iowa),Short Term Acute Care Hospital,Mason City,Cerro Gordo,Iowa,346.0,205.0,18,18,0.0,0.5609756,141,13.0
1327,Cherokee Regional Medical Center,Critical Access Hospital,Cherokee,Cherokee,Iowa,25.0,25.0,4,4,0.0,0.3733699,0,1.0
1328,MercyOne New Hampton Medical Center (FKA Mercy Medical Center - New Hampton),Critical Access Hospital,New Hampton,Chickasaw,Iowa,18.0,8.0,1,1,0.0,0.354452,10,0.0
1329,Clarke County Hospital,Critical Access Hospital,Osceola,Clarke,Iowa,25.0,25.0,4,4,0.0,0.2803288,0,0.0
1330,Spencer Hospital,Short Term Acute Care Hospital,Spencer,Clay,Iowa,99.0,49.0,9,9,0.0,0.3618675,50,1.0
1331,MercyOne Elkader Medical Center (FKA Central Community Hospital),Critical Access Hospital,Elkader,Clayton,Iowa,25.0,15.0,3,3,0.0,0.1950685,10,0.0
1332,Guttenberg Municipal Hospital,Critical Access Hospital,Guttenberg,Clayton,Iowa,25.0,25.0,4,4,0.0,0.1266849,0,1.0
1333,Genesis Medical Center - Dewitt,Critical Access Hospital,De Witt,Clinton,Iowa,90.0,13.0,2,2,0.0,0.2958904,77,1.0
1334,MercyOne Clinton Medical Center (FKA Mercy Medical Center - Clinton),Short Term Acute Care Hospital,Clinton,Clinton,Iowa,175.0,107.0,10,10,0.0,0.2381001,68,4.0
1335,Crawford County Memorial Hospital,Critical Access Hospital,Denison,Crawford,Iowa,25.0,25.0,4,4,0.0,0.2121644,0,2.0
1336,Dallas County Hospital,Critical Access Hospital,Perry,Dallas,Iowa,25.0,25.0,4,4,0.0,0.08526027,0,0.0
1337,Davis County Hospital,Critical Access Hospital,Bloomfield,Davis,Iowa,25.0,25.0,4,4,0.0,0.09863014,0,1.0
1338,Decatur County Hospital,Critical Access Hospital,Leon,Decatur,Iowa,25.0,11.0,2,2,0.0,0.222665,14,1.0
1339,Regional Medical Center,Critical Access Hospital,Manchester,Delaware,Iowa,25.0,25.0,4,4,0.0,0.2609315,0,2.0
1340,Great River Medical Center,Short Term Acute Care Hospital,West Burlington,Des Moines,Iowa,213.0,136.0,12,12,0.0,0.461946,77,3.0
1341,Lakes Regional Healthcare,Short Term Acute Care Hospital,Spirit Lake,Dickinson,Iowa,49.0,44.0,8,8,0.0,0.1815691,5,2.0
1342,UnityPoint Health Dubuque - Finley Hospital,Short Term Acute Care Hospital,Dubuque,Dubuque,Iowa,142.0,87.0,10,10,0.0,0.451362,55,2.0
1343,MercyOne Dubuque Medical Center (FKA Mercy Medical Center - Dubuque),Short Term Acute Care Hospital,Dubuque,Dubuque,Iowa,303.0,150.0,8,8,0.0,0.5422831,153,6.0
1344,MercyOne Dyersville Medical Center (FKA Mercy Medical Center - Dyersville),Critical Access Hospital,Dyersville,Dubuque,Iowa,25.0,20.0,3,3,0.0,0.09575342,5,0.0
1345,Avera Holy Family Hospital,Critical Access Hospital,Estherville,Emmet,Iowa,25.0,22.0,4,4,0.0,0.2217933,3,2.0
1346,MercyOne Oelwein Medical Center (FKA Mercy Hospital),Critical Access Hospital,Oelwein,Fayette,Iowa,25.0,25.0,4,4,0.0,0.1343562,0,1.0
1347,Gundersen Palmer Lutheran Hospital (FKA Palmer Lutheran Health Center),Critical Access Hospital,West Union,Fayette,Iowa,25.0,25.0,4,4,0.0,0.1350137,0,0.0
1348,Franklin General Hospital,Critical Access Hospital,Hampton,Franklin,Iowa,25.0,25.0,4,4,0.0,0.1567123,0,0.0
1349,Greene County Medical Center,Critical Access Hospital,Jefferson,Greene,Iowa,25.0,25.0,4,4,0.0,0.1878356,0,1.0
1350,UnityPoint Health - Grundy County Memorial Hospital,Critical Access Hospital,Grundy Center,Grundy,Iowa,80.0,25.0,4,4,0.0,0.09709589,55,0.0
1351,Guthrie County Hospital,Critical Access Hospital,Guthrie Center,Guthrie,Iowa,25.0,25.0,4,4,0.0,0.1677808,0,0.0
1352,Van Diest Medical Center (FKA Hamilton County Public Hospital),Critical Access Hospital,Webster City,Hamilton,Iowa,25.0,25.0,4,4,0.0,0.3277808,0,1.0
1353,Hancock County Memorial Hospital (AKA Hancock County Health System Memorial Hospital),Critical Access Hospital,Britt,Hancock,Iowa,25.0,25.0,4,4,0.0,0.2814247,0,0.0
1354,Hansen Family Hospital (FKA Ellsworth Municipal Hospital),Critical Access Hospital,Iowa Falls,Hardin,Iowa,35.0,19.0,3,3,0.0,0.3498003,16,2.0
1355,CHI Health Missouri Valley (FKA Alegent Health Community Memorial Hospital),Critical Access Hospital,Missouri Valley,Harrison,Iowa,25.0,25.0,4,4,0.0,0.1659178,0,2.0
1356,Henry County Health Center,Critical Access Hospital,Mount Pleasant,Henry,Iowa,74.0,25.0,4,4,0.0,0.1800548,49,2.0
1357,Regional Health Services of Howard County,Critical Access Hospital,Cresco,Howard,Iowa,19.0,18.0,3,3,0.0,0.1873668,1,2.0
1358,Horn Memorial Hospital,Critical Access Hospital,Ida Grove,Ida,Iowa,25.0,25.0,4,4,0.0,0.2248767,0,1.0
1359,Compass Memorial Healthcare (FKA Marengo Memorial Hospital),Critical Access Hospital,Marengo,Iowa,Iowa,25.0,25.0,4,4,0.0,0.2749589,0,0.0
1360,Jackson County Regional Health Center,Critical Access Hospital,Maquoketa,Jackson,Iowa,25.0,25.0,4,4,0.0,0.194411,0,0.0
1361,MercyOne Newton Medical Center (FKA Skiff Medical Center),Short Term Acute Care Hospital,Newton,Jasper,Iowa,68.0,48.0,8,8,0.0,0.1650685,20,2.0
1362,Jefferson County Health Center,Critical Access Hospital,Fairfield,Jefferson,Iowa,25.0,25.0,4,4,0.0,0.3774247,0,1.0
1363,University of Iowa Hospitals & Clinics,Short Term Acute Care Hospital,Iowa City,Johnson,Iowa,1103.0,716.0,53,53,116.0,0.7540323,387,22.0
1364,Iowa City VA Health Care System,VA Hospital,Iowa City,Johnson,Iowa,93.0,93.0,1,1,,,0,1.0
1365,Mercy Hospital - Iowa City (AKA Mercy Iowa City),Short Term Acute Care Hospital,Iowa City,Johnson,Iowa,234.0,218.0,18,18,0.0,0.278321,16,4.0
1366,UnityPoint Health Anamosa - Jones Regional Medical Center,Critical Access Hospital,Anamosa,Jones,Iowa,22.0,22.0,4,4,0.0,0.2290162,0,2.0
1367,Kossuth Regional Health Center,Critical Access Hospital,Algona,Kossuth,Iowa,25.0,24.0,4,4,0.0,0.4009132,1,2.0
1368,Fort Madison Community Hospital,Short Term Acute Care Hospital,Fort Madison,Lee,Iowa,50.0,50.0,3,3,0.0,0.1406575,0,2.0
1369,UnityPoint Health Keokuk (FKA Keokuk Area Hospital),Short Term Acute Care Hospital,Keokuk,Lee,Iowa,71.0,49.0,9,9,0.0,0.09029607,22,2.0
1370,UnityPoint Health Cedar Rapids - St Lukes Hospital (FKA St Lukes Hospital),Short Term Acute Care Hospital,Cedar Rapids,Linn,Iowa,540.0,301.0,16,16,23.0,0.5679334,239,6.0
1371,Mercy Medical Center - Cedar Rapids,Short Term Acute Care Hospital,Cedar Rapids,Linn,Iowa,454.0,194.0,20,20,9.0,0.4470414,260,4.0
1372,Lucas County Health Center,Critical Access Hospital,Chariton,Lucas,Iowa,25.0,25.0,4,4,0.0,0.1153973,0,2.0
1373,Madison County Memorial Hospital,Critical Access Hospital,Winterset,Madison,Iowa,25.0,25.0,4,4,0.0,0.1727123,0,0.0
1374,Mahaska Health Partnership (FKA Mahaska County Hospital),Critical Access Hospital,Oskaloosa,Mahaska,Iowa,33.0,25.0,4,4,0.0,0.4187397,8,2.0
1375,Pella Regional Health Center,Critical Access Hospital,Pella,Marion,Iowa,25.0,25.0,3,3,0.0,0.4630137,0,2.0
1376,Knoxville Hospital & Clinics,Critical Access Hospital,Knoxville,Marion,Iowa,25.0,25.0,4,4,0.0,0.2875617,0,1.0
1377,UnityPoint Health - Marshalltown,Short Term Acute Care Hospital,Marshalltown,Marshall,Iowa,125.0,41.0,7,7,0.0,0.3048227,84,2.0
1378,Burgess Health Center,Critical Access Hospital,Onawa,Monona,Iowa,25.0,25.0,4,4,0.0,0.2683836,0,2.0
1379,Monroe County Hospital,Critical Access Hospital,Albia,Monroe,Iowa,25.0,25.0,4,4,0.0,0.1315068,0,0.0
1380,Montgomery County Memorial Hospital,Critical Access Hospital,Red Oak,Montgomery,Iowa,25.0,25.0,8,8,0.0,0.4652055,0,1.0
1381,Trinity Muscatine,Short Term Acute Care Hospital,Muscatine,Muscatine,Iowa,48.0,45.0,5,5,0.0,0.2231355,3,2.0
1382,MercyOne Primghar Medical Center (FKA Baum Harmon Mercy Hospital),Critical Access Hospital,Primghar,O'Brien,Iowa,14.0,14.0,2,2,0.0,0.07025761,0,0.0
1383,Sanford Sheldon Medical Center,Critical Access Hospital,Sheldon,O'Brien,Iowa,25.0,25.0,4,4,0.0,0.3552877,0,1.0
1384,Osceola Regional Health Center (AKA Osceola Community Hospital),Critical Access Hospital,Sibley,Osceola,Iowa,25.0,25.0,4,4,0.0,0.1146301,0,1.0
1385,Clarinda Regional Health Center,Critical Access Hospital,Clarinda,Page,Iowa,25.0,25.0,4,4,0.0,0.2144658,0,2.0
1386,Shenandoah Medical Center,Critical Access Hospital,Shenandoah,Page,Iowa,25.0,25.0,2,2,0.0,0.1777534,0,2.0
1387,Palo Alto County Hospital (AKA Palo Alto County Health System),Critical Access Hospital,Emmetsburg,Palo Alto,Iowa,47.0,24.0,4,4,0.0,0.1930365,23,0.0
1388,Floyd Valley Healthcare,Critical Access Hospital,Le Mars,Plymouth,Iowa,25.0,25.0,4,4,0.0,0.2267397,0,2.0
1389,Iowa Lutheran Hospital,Short Term Acute Care Hospital,Des Moines,Polk,Iowa,224.0,161.0,10,10,0.0,0.6396983,63,3.0
1390,Broadlawns Medical Center,Short Term Acute Care Hospital,Des Moines,Polk,Iowa,200.0,117.0,6,6,0.0,0.5408968,83,2.0
1391,Iowa Methodist Medical Center,Short Term Acute Care Hospital,Des Moines,Polk,Iowa,460.0,455.0,36,36,47.0,0.7493923,5,14.0
1392,MercyOne Des Moines Medical Center (FKA Mercy Medical Center - Des Moines),Short Term Acute Care Hospital,Des Moines,Polk,Iowa,656.0,656.0,48,48,44.0,0.7162595,0,24.0
1393,VA Central Iowa Health Care System,VA Hospital,Des Moines,Polk,Iowa,51.0,51.0,3,3,,,0,2.0
1394,Jennie Edmundson Hospital,Short Term Acute Care Hospital,Council Bluffs,Pottawattamie,Iowa,236.0,110.0,13,13,0.0,0.5313823,126,3.0
1395,CHI Health Mercy Council Bluffs (FKA Alegent Health Mercy Hospital Council Bluffs),Short Term Acute Care Hospital,Council Bluffs,Pottawattamie,Iowa,278.0,145.0,16,16,0.0,0.408616,133,4.0
1396,UnityPoint Health Grinnell - Grinnell Regional Medical Center,Short Term Acute Care Hospital,Grinnell,Poweshiek,Iowa,49.0,49.0,5,5,0.0,0.2342186,0,2.0
1397,Ringgold County Hospital,Critical Access Hospital,Mount Ayr,Ringgold,Iowa,16.0,16.0,3,3,0.0,0.1804795,0,0.0
1398,Genesis Medical Center - East Rusholme Street,Short Term Acute Care Hospital,Davenport,Scott,Iowa,502.0,295.0,29,29,0.0,0.5309589,207,7.0
1399,Trinity Bettendorf,Short Term Acute Care Hospital,Bettendorf,Scott,Iowa,139.0,87.0,10,10,6.0,0.4061093,52,2.0
1400,Myrtue Medical Center,Critical Access Hospital,Harlan,Shelby,Iowa,25.0,25.0,4,4,0.0,0.3596712,0,2.0
1401,Orange City Area Health System (FKA Orange City Hospital),Critical Access Hospital,Orange City,Sioux,Iowa,25.0,25.0,4,4,0.0,0.390137,0,1.0
1402,Sioux Center Health,Critical Access Hospital,Sioux Center,Sioux,Iowa,21.0,19.0,3,3,0.0,0.244845,2,1.0
1403,Hegg Memorial Health Center Avera,Critical Access Hospital,Rock Valley,Sioux,Iowa,25.0,25.0,4,4,0.0,0.128548,0,0.0
1404,Hawarden Regional Healthcare (FKA Hawarden Community Hospital),Critical Access Hospital,Hawarden,Sioux,Iowa,25.0,25.0,4,4,0.0,0.1087123,0,0.0
1405,Story County Medical Center (FKA Story County Hospital),Critical Access Hospital,Nevada,Story,Iowa,17.0,17.0,3,3,0.0,0.3750201,0,0.0
1406,Mary Greeley Medical Center,Short Term Acute Care Hospital,Ames,Story,Iowa,220.0,158.0,14,14,0.0,0.493931,62,3.0
1407,Greater Regional Medical Center,Critical Access Hospital,Creston,Union,Iowa,25.0,25.0,4,4,0.0,0.3757808,0,2.0
1408,Van Buren County Hospital,Critical Access Hospital,Keosauqua,Van Buren,Iowa,25.0,25.0,4,4,0.0,0.08909589,0,1.0
1409,Ottumwa Regional Health Center,Short Term Acute Care Hospital,Ottumwa,Wapello,Iowa,217.0,88.0,11,11,0.0,0.2220423,129,2.0
1410,Washington County Hospital,Critical Access Hospital,Washington,Washington,Iowa,25.0,25.0,4,4,0.0,0.2903014,0,1.0
1411,Wayne County Hospital,Critical Access Hospital,Corydon,Wayne,Iowa,25.0,25.0,4,4,0.0,0.2740822,0,1.0
1412,Trinity Regional Medical Center,Short Term Acute Care Hospital,Fort Dodge,Webster,Iowa,200.0,46.0,8,8,0.0,0.6789756,154,2.0
1413,Winneshiek Medical Center,Critical Access Hospital,Decorah,Winneshiek,Iowa,25.0,25.0,4,4,0.0,0.3639452,0,2.0
1414,MercyOne Siouxland Medical Center (FKA Mercy Medical Center - Sioux City),Short Term Acute Care Hospital,Sioux City,Woodbury,Iowa,484.0,157.0,19,19,0.0,0.7210017,327,7.0
1415,UnityPoint Health Sioux City - St Lukes Regional Medical Center,Short Term Acute Care Hospital,Sioux City,Woodbury,Iowa,346.0,159.0,15,15,20.0,0.5796158,187,4.0
1416,Iowa Specialty Hospital - Belmond,Critical Access Hospital,Belmond,Wright,Iowa,22.0,22.0,4,4,0.0,0.1671233,0,1.0
1417,Iowa Specialty Hospital - Clarion,Critical Access Hospital,Clarion,Wright,Iowa,25.0,25.0,4,4,0.0,0.3158356,0,2.0
1418,Allen County Regional Hospital,Critical Access Hospital,Iola,Allen,Kansas,25.0,25.0,4,4,0.0,0.3499178,0,2.0
1419,Anderson County Hospital,Critical Access Hospital,Garnett,Anderson,Kansas,12.0,12.0,2,2,0.0,0.389726,0,0.0
1420,Atchison Hospital,Critical Access Hospital,Atchison,Atchison,Kansas,25.0,25.0,4,4,0.0,0.3659178,0,2.0
1421,Kiowa District Hospital,Critical Access Hospital,Kiowa,Barber,Kansas,10.0,10.0,2,2,0.0,0.3290411,0,0.0
1422,Clara Barton Hospital,Critical Access Hospital,Hoisington,Barton,Kansas,23.0,18.0,3,3,0.0,0.4923896,5,1.0
1423,The University of Kansas Health System - Great Bend Campus,Short Term Acute Care Hospital,Great Bend,Barton,Kansas,33.0,33.0,4,4,0.0,0.3418016,0,1.0
1424,Hiawatha Community Hospital,Critical Access Hospital,Hiawatha,Brown,Kansas,25.0,25.0,4,4,0.0,0.3509041,0,2.0
1425,Kansas Medical Center,Short Term Acute Care Hospital,Andover,Butler,Kansas,58.0,55.0,10,10,0.0,0.4862626,3,3.0
1426,Susan B Allen Memorial Hospital,Short Term Acute Care Hospital,El Dorado,Butler,Kansas,68.0,53.0,6,6,0.0,0.3309899,15,2.0
1427,Sedan City Hospital,Critical Access Hospital,Sedan,Chautauqua,Kansas,25.0,17.0,3,3,0.0,0.1094279,8,0.0
1428,Cheyenne County Hospital,Critical Access Hospital,Saint Francis,Cheyenne,Kansas,16.0,16.0,3,3,0.0,0.1976027,0,0.0
1429,Ashland Health Center,Critical Access Hospital,Ashland,Clark,Kansas,25.0,25.0,4,4,0.0,0.6470137,0,0.0
1430,Clay County Medical Center,Critical Access Hospital,Clay Center,Clay,Kansas,25.0,17.0,3,3,0.0,0.6315874,8,0.0
1431,Cloud County Health Center,Critical Access Hospital,Concordia,Cloud,Kansas,25.0,22.0,4,4,0.0,0.2582814,3,1.0
1432,Coffey County Hospital (AKA Coffey Health System),Critical Access Hospital,Burlington,Coffey,Kansas,25.0,25.0,4,4,0.0,0.1833425,0,2.0
1433,Comanche County Hospital,Critical Access Hospital,Coldwater,Comanche,Kansas,12.0,12.0,2,2,0.0,0.2089041,0,0.0
1434,South Central Kansas Regional Medical Center,Short Term Acute Care Hospital,Arkansas City,Cowley,Kansas,49.0,32.0,2,2,0.0,0.2122432,17,2.0
1435,William Newton Hospital,Critical Access Hospital,Winfield,Cowley,Kansas,25.0,21.0,2,2,0.0,0.5419439,4,2.0
1436,Girard Medical Center,Critical Access Hospital,Girard,Crawford,Kansas,25.0,23.0,4,4,0.0,0.1410134,2,2.0
1437,Ascension Via Christi Hospital in Pittsburg,Short Term Acute Care Hospital,Pittsburg,Crawford,Kansas,75.0,66.0,12,12,0.0,0.3739726,9,2.0
1438,Herington Municipal Hospital,Critical Access Hospital,Herington,Dickinson,Kansas,25.0,15.0,3,3,0.0,0.2551598,10,1.0
1439,Memorial Hospital,Critical Access Hospital,Abilene,Dickinson,Kansas,25.0,19.0,3,3,0.0,0.4941601,6,0.0
1440,Lawrence Memorial Hospital (AKA LMH Health),Short Term Acute Care Hospital,Lawrence,Douglas,Kansas,148.0,110.0,10,10,0.0,0.4569614,38,3.0
1441,Edwards County Medical Center,Critical Access Hospital,Kinsley,Edwards,Kansas,12.0,12.0,2,2,0.0,0.4445205,0,0.0
1442,The University of Kansas Health System - HaysMed (AKA Hays Medical Center),Short Term Acute Care Hospital,Hays,Ellis,Kansas,194.0,149.0,34,34,0.0,0.3701572,45,8.0
1443,Ellsworth County Medical Center,Critical Access Hospital,Ellsworth,Ellsworth,Kansas,20.0,18.0,3,3,0.0,0.2748858,2,0.0
